序号,阵营,角色,日文名,初始兵种,职业偏向（图鉴·战斗特征）,技能倾向（按武器等级归纳）,擅长技能(日文站),推荐兵种(日文站),推荐职业路线(欧美站),擅长技能(欧美站),HP,力量,魔力,速度,技巧,防守,魔防,幸运,魅力,成长合计,剑术,枪术,斧术,弓术,格斗术,黑魔法,白魔法,指挥,步兵,马术,重装,飞行,个人技能,习得技能,战技,初始魔法,初始装备,血印1,血印2,声优,说明
1,救世主军,伊修玛尔,イシュマール,守护者,—,枪术A・步兵C・指挥C 向,枪术・指挥,—,守护者,指挥・枪术,50,45,45,45,45,35,35,40,50,390,E,A,E,E,E,E,D,C,C,E,E,E,救世之光：使周围2格内敌人的「冥府加护」无效,戦技装備+2魔法回復+10槍術Lv.5,旋風槍,,无名之枪・伤药,预言者天冠：攻击时5%发动，命中+100,,松岡 禎丞／井上 麻里奈,为了让世界重归光明，在被称为「禁断之地」的地方被创造出来的存在。拥有与常人不同的特别肉体与强大力量。为集结讨伐巴洛尔的同志，与命运女神福尔图娜一同回溯过去。
2,利贝拉之风,凯伊,カイ,飞驼兵,飞驼兵单位,—,剑术・枪术・马术・白魔法,荣光骑士,飞驼骑兵 ▼ 轻骑兵 ▼ 荣光骑士,白魔法・马术・枪术・剑术,45,45,40,45,45,35,35,40,40,370,—,—,—,—,—,—,—,—,—,—,—,—,活発：移動力+1,,,,,使徒天冠：攻击时20%发动，命中+20,魂魄天冠：攻击时25%发动，攻击力+3,山下 大輝,在宁静的里贝拉村生活的，充满活力、执着且重视家庭的少年。与青梅竹马们共度和平的日子，但在 15 岁生日那天，命运的齿轮开始转动。
3,拉米努一家,迪托利希,ディートリヒ,剑士,装备武器「魔剑安斯韦拉」，可使用易打出必杀一击的战技「血闪」，且必杀数值会随技能提升，战斗力极强，单骑也足以应战,—,剑术・步兵,侍道,斗士 ▼ 剑客 ▼ 侍道,步兵・剑术,50,45,30,50,60,40,30,50,60,415,—,—,—,—,—,—,—,—,—,—,—,—,杀意：先手战斗时，必杀+5,,,,,永远天冠：攻击时10%发动，自身中幅回复HP,,日野 聡,为了满足自身的渴望，不断寻求与强者战斗的美丽剑士。 从跨越海洋的彼方“芙朵拉”之地而来的异邦人。
4,梅加埃拉的灯火,赛奥朵拉,セオドラ,贵族,—,—,枪术・白魔法・指挥,荣光骑士,斗士 ▼ 轻骑兵 ▼ 荣光骑士,指挥・白魔法・枪术,70,50,30,40,40,40,30,30,50,380,—,—,—,—,—,—,—,—,—,—,—,—,不退的觉悟：被攻击时30%发动，受到的伤害减半,,,,,魂魄天冠：攻击时25%发动，攻击力+3,,高山 南,视鞑古扎帝国为宗主国 的 萨拉弥斯 王国 的年轻女王。 拥有直面任何困难的坚定意志，并具备作为君临人上的王的资质。
5,蔷薇风暴,蕾达,レダ,猎兵,除灵活运用近战的剑与长射程的弓之外，还能演奏比尤埃拉琴强化同伴,—,剑术・弓术・白魔法・步兵,狙击手 ｜ 游侠 ｜ 神金骑士,猎兵 ▼ 弓箭手 ▼ 狙击手,弓术・白魔法・步兵・剑术,40,35,35,65,50,35,35,25,55,375,—,—,—,—,—,—,—,—,—,—,—,—,先手战斗时 5% 概率发动，不会被反击,,,,,,,伊瀬 茉莉也,奏响魅惑旋律的超一流维埃拉演奏家。 因 5 年前发生的“某件事”为契机，踏上了被复仇与怨念囚禁的人生之路。
6,利贝拉之风,媞亚拉,ティアラ,平民,战斗中可用战技提升同伴能力，也能用魔法救助陷入危机的同伴 ，是 掌控战局 的 辅助角色 。,—,黑魔法・白魔法・指挥,先知,诅咒师 ▼ 牧师 ▼ 神官骑士,指挥・白魔法・黑魔法,30,25,45,35,40,20,40,50,45,330,—,—,—,—,—,—,—,—,—,—,—,—,军师之才：可对己方使用的战技射程+1,,,火焰,,,,河瀬 茉希,主人公凯伊的青梅竹马。热心的读书家，虽然只有 15 岁，却拥有多方面的知识。 一起生活的祖父是前军师，孙女蒂亚拉也继承了罕见的“军略之才”。
7,利贝拉之风,皮特鲁,ピーテル,平民,战斗中以擅长的弓箭从后方狙击敌人,—,弓术・步兵,狙击手 ｜ 游侠 ｜ 神金骑士,猎兵 ▼ 弓箭手 ▼ 神金骑士,弓术・步兵,40,35,20,45,60,30,25,35,30,320,—,—,—,—,—,—,—,—,—,—,—,—,瞄准射击：使用弓战技时，射程+1,狙击,,,,,,山本 和臣,与主人公凯伊如同亲兄弟般一起长大的 15 岁少年。 视力极佳，甚至能在明亮的白昼观察到星辰。 弓箭的本领首屈一指，却因温柔怯懦的性格作祟，无法发挥出真正的实力。
8,利贝拉之风,乌尔坦德,ウルタンド,祭司,战斗中可一边治疗同伴一边应战；技能提升后还能习得对拥有「冥府加护」的敌人有效的神圣魔法,—,枪术・白魔法・飞行,主教,诅咒师 ▼ 牧师 ▼ 主教,白魔法・枪术,45,40,40,35,40,35,45,55,50,385,—,—,—,—,—,—,—,—,—,—,—,—,应急处理：相邻己方战斗后，为其小幅回复HP,,,,,,,稲垣 好,鞑古希翁上层的极光神殿供奉的年轻神官。 性格温柔体贴，视儿时玩伴们在激烈的大剑斗祭中挑战的凯如同弟弟般挂心，无论何时都给予帮助。
9,拉米努一家,法毕欧,ファビオ,平民,战斗中以特殊的暗魔法使敌人丧失战意,—,黑魔法・指挥,先知,诅咒师 ▼ 萨满巫师 ▼ 祭司※,指挥・黑魔法,40,25,50,35,40,30,45,35,30,330,—,—,—,—,—,—,—,—,—,—,—,—,唤暗：相邻敌人的回避-5,射撃安定,,,,,,山口 恵,从遥远的芙朵拉之地前来，塞罗斯圣教神秘莫测的传教士。 理性的一面，同时有称他人为“野兽”并蔑视的习惯。 与主人公迪特里希是同乡，但原本并无交情。
10,拉米努一家,艾丝美拉尔达,エスメラルダ,平民,挥舞埃斯梅拉达之父辛扎留下的鱼叉（枪）粉碎敌人；任何沉重的武器都能轻松驾驭，是,—,枪术・斧术・重装,巨重甲骑士,斗士 ▼ 重装步兵 ▼ 无畏重甲※,斧术・重装・枪术,55,55,20,35,35,45,25,35,30,335,—,—,—,—,—,—,—,—,—,—,—,—,怪力：自身装备的武器、道具重量降为80%,,,,,勇气天冠：攻击时3%发动，造成的伤害变为1.5倍,,菱川 花菜,在鞑古扎海岸的渔村生活的渔夫之女。 充满野性魅力，其体格难以想象地拥有惊人力气。 曾险些成为海兽的祭品，被迪特里希救下，从此与他结伴同行。
