序号,阶级,兵种名,最低转职等级,纳入推荐,精通加成属性,精通加成值,转职条件,日文原名,兵种特性,使用武器,HP,力量,魔力,速度,技巧,防守,魔防,幸运,魅力,移动力,转职·主要技能,转职·选择技能,兵种技能,精通技能,精通战技,解放条件,代表角色,中文说明,备注
1,基本职,平民,1,是,,,解放条件：初始即解锁,平民,步兵,剑术・枪术・斧术・弓术・格斗术・白魔法・黑魔法・步兵术,0,0,0,0,0,0,0,0,0,0,—,—,—,战斗的基本,—,初始即开放,—,—,
2,基本职,贵族,1,是,,,解放条件：初始即解锁,貴族,步兵,剑术・枪术・斧术・弓术・格斗术・白魔法・黑魔法・步兵术,0,0,0,0,0,0,0,0,0,0,—,—,—,战斗的基本,—,初始即开放,赛奥朵拉,继承名门家名与名号的特殊兵种，作为王或领主引导民众。,
3,初级职,斗士,5,是,,,"初级考试票证
推荐等级 5
名声等级 1",闘士,步兵,剑术・斧术・格斗术・步兵术,10,10,0,0,0,0,0,0,0,0,—,格斗术D、斧术D、剑术D,—,攻击的基本,—,—,穆,精通剑・斧・拳套等武器的斗士，能熟练运用多种武器，攻击力出色。,
4,初级职,猎兵,5,是,,,"初级考试票证
推荐等级 5
名声等级 1",猟兵,步兵,剑术・弓术・步兵术,10,0,0,10,10,0,0,0,0,0,—,弓术D、剑术D,—,狩猎的基本,—,—,蕾达・迪雅各,能分别运用剑与弓作战的士兵，以技巧与速度见长。,
5,初级职,士兵,5,是,,,"初级考试票证
推荐等级 5
名声等级 1",兵士,步兵・重装,剑术・枪术・斧术・步兵术・重装术,10,5,0,-5,5,10,0,0,0,0,—,斧术D、枪术D,—,防御的基本,—,—,巴卡尼亚,擅长使枪的士兵，以盾与铠甲拥有高防御力。,
6,初级职,飞驼兵,5,是,,,"初级考试票证
推荐等级 5
名声等级 1",飛駝兵,骑兵,马术・斧术・枪术・剑术・飞行术,10,0,0,10,0,0,5,5,0,0,马术E,斧术D、枪术D,上下坐骑,攻势的基本,—,—,凯伊,骑乘飞驼的兵种，可借坐骑飞越障碍物，移动范围广。,
7,初级职,诅咒师,5,是,,,"初级考试票证
推荐等级 5
名声等级 1
",呪い師,步兵,剑术・斧术・格斗术・白魔法・黑魔法・步兵术,5,-5,15,0,5,-5,10,0,0,1,—,白魔法D、黑魔法D,—,魔道的基本,—,—,媞亚拉・法毕欧・波拿帕尔特・西洛可・索绯亚・爱娜特莉亚・沙兰・欧露赫露,使用魔道治疗同伴、与敌作战，魔力出众。,
8,中级职,剑客,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",剣士,步兵,剑术・枪术・步兵术,10,0,0,15,10,0,0,5,5,1,剑术C,—,战技装备+1・剑必杀+3,技巧的精髓,—,—,迪托利希・古扎岚・杰斯塔・露露蒂雅,专精于剑的战士，以迅捷剑技戏弄敌人。,
9,中级职,土匪,20,是,,,"中级考试票证
推荐等级 20
名声等级 4
选择技能：剑C、斧C",ブリガンド,步兵,剑术・斧术・格斗术・步兵术,15,15,-5,5,0,5,0,0,5,1,—,斧术C、剑术C,战技装备+1・斧命中+3,重整旗鼓,—,—,米迦艾拉・马吉迪・扎科内・大刀,擅长使斧的蛮汉，以高威力的一击打倒敌人。,
10,中级职,斗拳手,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",セスタス,步兵,格斗术・步兵术,15,10,-5,10,5,10,0,0,5,1,格斗术C,—,战技装备+1,打带跑,—,—,诺克裘拉,以拳套作战的拳斗士，凭轻快攻击戏弄敌人。,
11,中级职,弓箭手,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",アーチャー,步兵,弓术・步兵术,10,0,0,10,15,5,0,5,5,1,弓术C,—,战技装备+1・弓命中+5,状态绝佳,—,—,皮特鲁・莉莉安・易尼奥尼,擅长用弓，精于远程攻击与对付飞行敌人。,
12,中级职,恶棍,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",ローグ,步兵,剑术・弓术・步兵术,10,0,0,15,10,0,5,5,0,1,—,弓术C、剑术C,战技装备+1・开锁・探索术,暗影蔽身,—,—,ウーシェラ・努佐・奇洛伊卡・佩佩,能开锁的盗贼，在森林中行动轻捷，探索时也大有作为。,
13,中级职,重装步兵,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",重装歩兵,步兵・重装,剑术・枪术・斧术・步兵术・重装术,10,10,-5,-5,5,5,-5,0,5,1,重装术E,斧术C、枪术C,战技装备+1・后攻守备+3,大反击,—,—,托比亚斯・爱丝米拉达・歌利亚斯・嘉丝敏,全身覆甲的兵种，以厚装甲充当同伴之盾。,
14,中级职,轻骑兵,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",軽騎兵,骑兵,剑术・枪术・斧术・马术,10,5,-5,5,0,5,0,5,10,2,马术D,枪术C、剑术C,上下坐骑,体力强化,—,—,莱桑德・伊欧,骑马作战的骑兵，凭高机动驰骋战场。,
15,中级职,战车兵,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",戦車兵,骑兵,弓术・步兵术,10,5,-5,-5,15,10,0,5,10,1,马术D、弓术C,—,战车装甲・战车兵战术・战车兵之道,突击态势,—,—,班迪兹,驾战车作战的特殊骑兵，以战车突击与弓箭扰乱敌人，但无法回避敌方攻击。,
16,中级职,骑甲鸵兵,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",騎甲駝兵,骑兵,剑术・枪术・斧术・马术・飞行术,10,0,-5,10,15,10,0,5,5,2,马术D,斧术C、枪术C,上下坐骑,危机感知,—,—,努蒂奴,精通驾驭飞驼的骑兵，可飞越障碍物。,
17,中级职,萨满巫师,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",シャーマン,步兵,剑术・格斗术・黑魔法・白魔法・步兵术,5,-5,15,10,10,-10,10,10,0,1,黑魔法C,—,黑魔法探求・魔法命中+5,技巧束缚,—,—,タムリーン,专精黑魔法的咒术师，能使用多种攻击魔法，擅长对付重甲敌人。,
18,中级职,牧师,20,是,,,"中级考试票证
推荐等级 20
名声等级 4",プリースト,步兵,剑术・格斗术・黑魔法・白魔法・步兵术,5,-5,10,5,5,-10,15,15,10,1,白魔法C,—,白魔法探求・魔法回复+5,信仰心,—,—,乌尔坦德・奥琳琵娅・索绯亚・杨界,专精白魔法的祈祷师，可用魔法治疗同伴或攻击。,
19,中级职,天翼兵,20,是,魔防,3,"中级考试票证
推荐等级 20
名声等级 4",天翼兵,飞行,剑术・枪术・飞行术,10,0,5,0,5,5,5,5,10,2,飞行术D,枪术C、剑术C,上下坐骑,天马翼护,—,—,卡塔妮雅・亚历珊德拉,骑乘有翼马翱翔天空的骑兵，机动性高且抗魔法。,
20,上级职,侍道,35,是,,,"高级考试票证
推荐等级 35
名声等级 8",シドー,步兵,剑术・枪术・步兵术,10,5,0,15,10,0,-5,5,5,1,剑术B,—,战技装备+2・剑必杀+5,残心,—,—,—,重视剑道精神修行而成的剑豪，以迅捷剑技攻击，伺机打出必杀一击。,
21,上级职,勇士,35,是,,,"高级考试票证
推荐等级 35
名声等级 8",ウォーリアー,步兵,剑术・斧术・格斗术・步兵术,20,20,-5,0,0,5,-5,0,5,1,—,格斗术B、斧术B、剑术B,战技装备+2・斧命中+5・格斗命中+5,熟练之技,—,—,—,—,
22,上级职,狙击手,35,是,,,"高级考试票证
推荐等级 35
名声等级 8",スナイパー,步兵,弓术・步兵术,10,5,0,10,20,5,5,5,5,1,弓术B,—,战技装备+2・弓命中+10,射击达人,—,—,—,—,
23,上级职,神金骑士,35,是,,,"高级考试票证
推荐等级 35
名声等级 8",フォレストナイト,骑兵,剑术・弓术・马术,10,5,0,10,10,5,5,5,5,2,马术D、弓术B,—,上下坐骑・战技装备+1・弓命中+5,猎人之眼,—,—,—,—,
24,上级职,巨重甲骑士,35,是,,,"高级考试票证
推荐等级 35
名声等级 8",ヘヴィアーマー,步兵・重装,枪术・斧术・步兵术・重装术,15,15,-5,-10,5,30,-10,10,5,0,重装术D,斧术B、枪术B,战技装备+2・后攻守备+5,集中反击,—,—,—,身披坚固铠甲的重装步兵，以厚装甲承受敌方攻击，成为守护同伴的壁垒。,
25,上级职,荣光骑士,35,是,,,"高级考试票证
推荐等级 35
名声等级 8",バーディンガー,骑兵,剑术・枪术・斧术・马术,10,10,-5,0,0,5,10,5,10,2,马术C,枪术B、剑术B,上下坐骑・战技装备+2,圣盾,—,—,—,娴熟驾驭马匹的精锐骑士，以高机动驰骋战场。,
26,上级职,先知,35,是,,,"高级考试票证
推荐等级 35
名声等级 8",ウァテス,步兵,剑术・格斗术・白魔法・黑魔法・步兵术,10,-5,20,5,15,-10,15,10,0,1,黑魔法B,—,黑魔法探求・魔法命中+5,速度束缚,—,—,红花,使用高等黑魔法的魔道士，巧妙操控攻击魔法，擅长对付重甲敌人。,
27,上级职,主教,35,是,,,"高级考试票证
推荐等级 35
名声等级 8",ビショップ,步兵,斧术・格斗术・白魔法・黑魔法・步兵术,10,-5,15,0,5,-10,20,20,10,1,白魔法B,—,白魔法探求・魔法回复+10,结界,—,—,特洛亚,使用白魔法，擅长以魔法治疗与辅助。,
28,上级职,神鸵兵,35,是,,,"高级考试票证
推荐等级 35
解放条件：                       凯伊篇：名声Lv.7                                 完成卡斯特尔的委托",カラドリオス,骑兵,剑术・枪术・斧术・黑魔法・马术・飞行术,15,10,10,10,5,10,10,5,5,1,马术D、黑魔法B,—,上下坐骑・黑魔法探求・战技装备+1,奔驰,—,卡斯托尔※的修行 Lv7「来自父亲的秘密委托」达成,—,—,
29,上级职,卫士,35,是,,,"高级考试票证
解放条件：迪托利希篇 名声Lv6 挑战状通关",ガーディアン,步兵,枪术・白魔法・步兵术,10,10,0,0,5,10,15,15,5,1,枪术B,—,战技装备+2・魔法回复+10,收束,—,迪托利希篇 名声 Lv6 的挑战状达成,—,精通枪术并能使用白魔法，攻守兼备，擅长均衡的战法。,
30,上级职,舞者,35,靠后,,,解放条件：第1部9章 蕾达转职为「舞者」时解锁,踊り子,步兵,剑术・弓术・步兵术,15,5,0,25,10,0,5,10,20,1,—,弓术B、剑术B,战技装备+2・起舞,特别之舞,—,第 1 部 9 章为蕾达解锁「舞者」,蕾达,特殊兵种（蕾达篇第 1 部 9 章解放）。,
31,上级职,龙骑士,35,是,,,"高级考试票证
推荐等级 35
解放条件：凯伊篇：名声Lv.8 完成欧若拉的委托",ドラグーン,飞行,剑术・枪术・斧术・飞行术,15,5,0,5,0,10,10,10,5,2,飞行术C,斧术B、枪术B,上下坐骑・战技装备+1,破城,—,奥罗拉※的修行 Lv8「来自母亲的特别委托」达成,—,骑乘巨型生物龙的兵种。,
32,上级职,神官骑士,35,是,,,"高级考试票证
推荐等级 35
解放条件：凯伊篇：名声Lv.10 完成白发鬼的委托",トルバドール,骑兵,黑魔法・白魔法・马术,10,0,15,0,5,5,15,15,10,2,马术D,白魔法B、黑魔法B,上下坐骑・魔法回复+5,—,勇气之咒歌,贝特兰※的修行 Lv10「来自白发鬼的委托」达成,—,—,
33,上级职,甲胄骑兵,35,是,,,高级考试票证,カタフラクト,骑兵・重装,剑术・枪术・斧术・马术・重装术,15,15,-5,-10,0,10,-5,0,5,1,重装术F、马术D,斧术B、枪术B,上下坐骑・战技装备+1・后攻守备+3,大盾,—,—,—,兼具马匹的机动与重装兵的防御，机动与防守俱佳的兵种。,
34,上级职,游侠,35,是,,,高级考试票证,レンジャー,步兵,剑术・弓术・步兵术,10,5,0,15,15,0,10,15,0,1,—,弓术B、剑术B,战技装备+2・开锁・上级探索术,反击射击,—,—,—,—,
35,上级职,战象兵,35,是,,,"高级考试票证
推荐等级 35
解放条件：救世篇第1区分通关",戦象兵,骑兵,马术,20,10,-5,-10,20,15,-5,5,10,1,马术C,—,战象装脚・战象兵战术・战象兵之道,战象旗手,—,—,—,骑乘巨型生物战象、力量强大的兵种。,
36,最上级职,战斗将领,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",バトルマスター,步兵,剑术・斧术・格斗术・步兵术,25,25,-5,5,-5,10,-5,-5,5,1,—,格斗术A、斧术A、剑术A,战技装备+3・斧命中+7・格斗命中+7,—,战鬼一击,—,—,—,
37,最上级职,宗师射手,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",マスターアーチ,步兵,弓术・步兵术,15,5,0,15,20,5,5,5,5,1,弓术A,—,战技装备+3・弓命中+15,—,天空猎手,—,—,—,
38,最上级职,探影者,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",シャドウシーカー,步兵,剑术・弓术・步兵术,15,5,0,25,15,0,10,15,0,1,—,弓术A、剑术A,战技装备+3・开锁・最上级探索术,—,落影之刃,—,—,—,
39,最上级职,圣枪师,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",ホーリーランサー,步兵,枪术・白魔法・步兵术,15,15,0,5,5,10,15,5,5,1,枪术A,—,战技装备+3・魔法回复+10・白魔法探求,不退架势,—,—,—,—,
40,最上级职,要塞,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",フォートレス,步兵・重装,枪术・斧术・步兵术・重装术,25,20,-5,-15,5,30,-10,0,5,0,重装术C,斧术A、枪术A,战技装备+3・后攻守备+7,遮断,—,—,—,—,
41,最上级职,奥利哈铁骑,45,是,,,"推荐等级 45
解放条件：救世篇第1区分通关",オリハルディア,骑兵,剑术・枪术・斧术・马术,15,15,-5,5,0,5,5,5,10,3,马术B,枪术A、剑术A,上下坐骑・战技装备+3,—,骑士烈枪,—,—,—,
